,title,project,price,time
20,خطة تسويقية لموقع تسويق بالعمولة,عندي حساب جديد التسويق بالعمولة في علي اكسبرس واحتاج الى خطة تسويقية محكمة,$100.00 - $250.00,30 يوما
21,عندي متجر مطوب ضبط فيه السيو والميرشنت منتجاتiptv,"عندي متجر بظبط فيه سيو وميرشنت أتمنى الذي لديه خبرة باشتراكاتiptv الرقمية يكلمني
ميرشنت مرات ميقبل ظهور المنتجات وأيضا السيو إلي مختص وفاهم يرسل فقط
png IMG7366.png (753.5KB)",$25.00 - $50.00,4 أيام
22,مطلوب مستقل لعمل إعلان على منصة تيك توك,"السلام عليكم
ابحث عن شخص يمكنه عمل اعلان ناجح على منصة تيك توك",$50.00 - $100.00,3 أيام
23,مسوق رقمى يصدر حمالات إعلانية,"مطلوب خبير تسويق محترف جدا media buyers
نحن شركة digital marketing نستهدف السوق السعودي نحتاج إلى media buyers باحترافية عالية نعمل على جميع المنصات الإعلانية ( سنان - تيكتوك- جوجل- انستجرام-...) على أن تتوافر هذه الشروط:-
1- معرفة عمل صفحات هبوط احترافية على youcan ومعرفة المفاهيم الأساسية في التجارة الإلكترونية
2- أن يكون على درجة عالية من الاحترافية في تحليل وتحسين الحملات الإعلانية وجلب مبيعات بأقل تكلفة ممكنة
3- أن يكون قادرا على إدارة الحملات بمبالغ كبيرة وعمل scaling لزيادة المبيعات
4- معرفة بعض الأساسيات في التصميم لتوجيه الفريق الخاص بالمصممين لأفضل النتائج",$25.00 - $50.00,7 أيام
24,تحسين محركات البحث,"خدمات تحسين محركات البحث لموقع إلكتروني ويشمل:
- تحليل الوضع الحالي للموقع
- تحديد مؤشرات الأداء المستهدفة بالقياس والتحسين
- تحديد الادوات والمنصات التي سيتم استعمالها للقياس والتحسين وتطبيقها وربطها مع الموقع الحالي
- وضع خطة وتنفيذها",$100.00 - $250.00,1 يوم
25,حل مشكلة في Google Merchant لمتجر أحذية,"السلام عليكم
لدي متجر مختص في بيع الأحذية
أواجه مشكلة في Google Merchant الوصف المضلل أحتاج إلى مسوق إعلانات جوجل فجميع أنواعها محترف لشغل دائم الرجاء التواصل لمن لديه الخبرة الرجاء التواصل معي",$100.00 - $250.00,10 أيام
26,مطلوب صانع محتوى لصناعة محتوى إعلاني ترويجي,مطلوب صانع محتوى لصناعة محتوى إعلاني ترويجي,$250.00 - $500.00,10 أيام
27,تحسين سرعة متجر إلكتروني عبر منصة سلة,"أبحث عن خبير في تحسين سرعة موقع عبر منصة (سلة) والمعروف في هذه المنصة انها مقيدة كثير من أمور التحسين الا لمن لديه خبرة كافية وليس مبتدىء.
المشاكل المحتملة في تأخير سرعة الموقع وتحتاج الى تحسين بشكل كبير.
- توجد العديد من الصور تعمل فور بدأ الموقع ما يسبب اتصالات صادرة اكثر.
- وجود جوجل تاجز الخاص ب منصة سلة الى جانب جوجل تاجر الخاص بي.
- توجد عناصر مختلفة زائدة غالبا أثناء إستخدام ستايل خارجي على قالب نمو الخاص بسلة
تم ذكر بعض المشاكل المهمه فقط بعد عمل تحليلك الخاص تحتاج الى عمل اللازم",$50.00 - $100.00,7 أيام
28,متخصص في حملات فيسبوك الإعلانية,"السلام عليكم
محتاج متخصص تقني في الحملات الإعلانية على الفيسبوك
بحيث يكون لديه سابقة أعمال مميزة ببعض الحملات التي استطاع أن يصل بها لنتائج مذهلة.
حيث سنقوم بحملة إعلانية گ تجربة لمهاراته وتكون النتائج هي التي تتكلم.
قنوات الإعلان
فيسبوك
المطلوب استلامه
تنفيذ اعلان ممول وادارة حملة اعلانية",$25.00 - $50.00,1 يوم
29,تصميم عدد 4 انفوجراف,"السلام عليكم
وصف المشروع
تصميم 4 infographic لعدد 4 موضوعات ""المعلومات موجودة"" كل منها منفصل
الرجاء إرفاق نماذج لأعمالك (لن ينظر في العرض دون نماذج)
الشروط:
1- تصميم بطابع رسمي مناسب للشركات الكبرى
2- تناغم عناصر التصميم كالألوان والرسومات.
3- شامل الفكرة والمحاور مع اضافة الرسومات البيانية والتوضيحية والصور اللازمة المناسبة
4- الالتزام بإجراء التعديلات المطلوبة ""في حال وجودها"" خلال 24 ساعة من إرسالها.
5- توفير جميع تنسيقات الملفات مثل jpg و pdf وما إلى ذلك
6- تسليم الملف مفتوح المصدر ""السورس الاساسي"" وفق البرنامج المستخدم ""الستريتور""
شكرا للجميع
سيتم التواصل مع صاحب العرض الموازن بين الجودة والسعر بشرط ألا يتجاوز قيمة العرض 40 $ لعدد 4 إنفوجرافيك معا",$25.00 - $50.00,4 أيام
30,حل مشكلة تعليق حساب إعلاني على تيك توك,"تم تعليق حسابنا الإعلاني على التيك توك بسبب نشر فيديوهات كثير في وقت واحد حسب كلام دعم تيك توك
ف إلى عنده خبرة في فك الحسابات المعلقة أو يقدر يفتح لنا حساب جديد يتجاوز الحظر يتواصل معنا لأننا جربنا فتح حساب جديد وحصل له نفس الحظر بعد ثوان من فتحه
يا ليت ما يجيئنا إلا شخص عنده تجربة سابقة لكسب الوقت
png لقطة-شاشة-2024-…1-27-185128.png (60.53KB)
png لقطة-شاشة-2024-…1-27-185253.png (58.34KB)",$25.00 - $50.00,7 أيام
31,إدارة وسائل التواصل الإجتماعي,السلام عليكم نريد من لديه الخبرة في إدارة إنستغرام وتوتير وتيك توك، بدوام يومي وشكرا جزيلا لكم,$50.00 - $100.00,30 يوما
32,إستعادة نشاط تجاري معلق على خرائط جوجل,"لدي نشاط تجاري معلق على خرائط جوجل وأريد استعادته، مع العلم بأنه قد تمت محاولة الاستعادة عن طريق النموذج وباءت بالفشل.
نوع النشاط: فندق.
العنوان: السعودية - جدة.
يتم عمل إكمال للمشروع عند استعادة النشاط التجاري بنجاح.",$25.00 - $50.00,7 أيام
33,عرض لنشر اخبار والتقارير الصحفية للشركة (علاقات عامة ونشر),"نحن شركة تعمل في مجال التطوير العقاري بمدينه جدة.. ولدينا خطة لنشر اخبار وفعاليات الشركة في الصحف المحلية بالمملكة العربية السعودية.
احتاج عرض لنشر اخبار والتقارير الصحفية للشركة في الصحف الإلكترونية لمرة واحدة ولعدة مرات.
مع تزويدي بأسماء تلك الصحف الإلكترونية.
ولسابقة أعمال في النشر والكتابة للعلاقات العامة.",$25.00 - $50.00,2 يومين
34,إدارة الحملات الإعلانية على مواقع التواصل الإجتماعي,"إدارة الحملات الإعلانية على مواقع التواصل الإجتماعي
قنوات الإعلان
إدارة الحملات الإعلانية على مواقع التواصل الإجتماعي
المعلومات المتوفرة
إدارة الحملات الإعلانية على مواقع التواصل الإجتماعي
المطلوب استلامه
إدارة الحملات الإعلانية على مواقع التواصل الإجتماعي",$50.00 - $100.00,30 يوما
35,نشر مقالات عني في 5 مواقع إخبارية موثوقة من اجل توثيق حسابي على الفيسبوك,نشر مقالات عني في 5 مواقع إخبارية موثوقة من اجل توثيق حسابي على الفيسبوك,$50.00 - $100.00,5 أيام
36,نبحث عن مستقل متمكن في انشاء الحملات الاعلانية و التسويق الإلكتروني,"نحن شركة تدريب و استشارات و توجيه قائمة نبحث عن مستقل متمكن في انشاء الحملات الاعلانية في منصات التواصل الاجتماعي بالإضافة الى جوجل يكون مطلع على أحدث الأدوات التسويقية، وادارتها، وقراءة مؤشرات الحملات الاعلانية.
المهام:
- ارسال خطة العمل و كل ما يتعلق بالموضوع قبل البدء (في الرسالة الأولى).
- تحديد العملاء المحتملين وتقسيمهم إلى شرائح واستهداف كل شريحة.
- نشر الحملة الإعلانية وقراءة مؤشرات أداء الحملة.
- انشاء الحملات الاعلانية في منصات التواصل الاجتماعي بالإضافة الى جوجل:
منصة فيس بوك Facebook
منصة سناب شات Snapchat
منصة الانستقرام Instagram
منصة تويتر Twitter
منصة التيك توك TikTok
جوجل Google Ads",$50.00 - $100.00,3 أيام
37,مسوق لبيع موقع إلكتروني,"لدي موقع للبيع متخصص في تنزيل أحدث الوظائف ومرتب معه حسابات سوشل ميديا من ضمنها منصة التوظيف لينكد أن فيه متابعين كثير وقابل للزيادة
ارغب مسوق محترف لبيع الموقع بمبلغ معين سوف يتم ارسال التفاصيل للمسوق المحترف جميع تفاصيل الاعلان على الخاص وايضا المبلغ المتفق عليه بعد البيع",$100.00 - $250.00,1 يوم
38,إدارة حملة إعلانية على قوقل,أبحث عن شخص للتعاون في تنظيم حملة إعلانية تسويقية مستمرة على قوقل مع معالجة جميع الأخطاء إن وجدت وتقديم جميع النصائح والخبرات التي تُحسن من عمليات البحث SEO ، ولو كان مصمم موشن جرافيك أفضل.,$100.00 - $250.00,20 يوما
39,المساعدة في إنشاء وتصميم MailChimp,المساعدة في إنشاء وتصميم MailChimp,$50.00 - $100.00,5 أيام
40,رفع منتجات على سلة,"لدي منتجات عديدة تتجاوز 300 منتج أحتاج فقط رفع هذه المنتجات بكامل تفاصيلها من تصاميم احترافية ان تطلب الامر وصور للمنتج
باللغتين العربية والإنجليزية مع كتابة المحتوى الخاص بكل منتج بشكل كامل بما يتوافق مع قواعد SEO والكلمات المفتاحية واضافة الفيديوهات والروابط في حال تواجدها
بخبرة واحترافية عالية جدا",$50.00 - $100.00,15 يوما
41,مصمم وكاتب محتوى,"شركه تقنية معلومات لدينا برامج محاسبية تخدم عده قطاعات بحاجة الى مصمم وكاتب محتوي لديه خبرة في المجال ولديه اعمال سابقة مشابهة وذلك لعمل الاتي :
1- تصميم و كتابة المحتوى وتجهيز بوستات خاصة بالإعلانات تتوافق مع جميع منصات التواصل الاجتماعي حسب العدد المطلوب
2- ادارة حسابات السوشل ميديا ومتابعتها بشكل يومي
3- كتابة المحتوى بالإضافة الى تصميم موشن جرافيك او فيديوهات إعلانية
4- خدمه العملاء والرد عليهم
5- يفضل من لديه الرغبة بالعمل براتب شهري عن بعد
نرجوا ممن لديه الخبرة الكافية ان يقوم بإرفاق اعماله السابقة
وشكرا",$50.00 - $100.00,30 يوما
42,خبير seo لمتجر إلكتروني على سلة,خبير seo لديه ذمه وامانة يعمل على متجر الكتروني على منصة سلة لايوجد تسويق ابدا نريد الظهور بشكل اورقانيك ومن الضروري التفرغ التام لمتجرنا وان لايوجد لديك اعمال اخرى لان لدينا مدونة نريدك كتابة مواضيع فيها بشكل دوري ايضا يجب العمل على كل مايحتاجه المتجر من متطلبات seo بكافة التفاصيل ( للمعلومية لدي مختص seo في الشركة سيراقب العمل بشكل دوري ويتاكد من الاخطاء لمن يعمل معنا ويكون مميز سنوقع معه عقد يستمر الى 6 اشهر من الممكن ذلك ),$50.00 - $100.00,30 يوما
43,خبير سيو لموقع شركة تنظيف,"سلام عليكم
مطلوب عمل سيو لموقع شركة تنظيف لتصدر نتائج البحث الاولى المطلوب الأعمال السابقة وتقديم عرضك بشكل مفصل",$50.00 - $100.00,20 يوما
44,إدارة منصات التواصل الاجتماعي,"إدارة الحسابات الرسمية للشركة علي كافة المنصات بشكل شهري
- عمل التحليلات اللازمة للمشروع من دراسة سوق ومنافسين وفئات مستهدفة وغيره لبناء خطة تسويقية ضمن مراحل واضحة ومدروسة.
- ترتيب وتهيئة الحسابات وإعادة تصميم الهوية البصرية إن احتجنا لذلك.
- كتابة خطة محتوى مقسمة لعدة أشهر ضمن مراحل الخطة التسويقية المدروسة (وليس خطة محتوى عامة وتفاعلية فقط)
- متابعة النشر والردود على الحساب.
- وضع أفكار تسويقية للبنزنس تستهدف مزيد من المتابعين والعملاء المحتملين.
- تنفيذ حملات اعلانية ممولة مدروسة وفق الخطة المقدمة ليتم عرضها علي العميل.
- تحقيق اللأهداف المطلوبة للمشروع
يرجى إرفاق روابط لحسابات أنت تدريها حالياً
منصات التواصل الاجتماعي
انستغرام، تويتر، لينكد ان
المعلومات المتوفرة
انستغرام، تويتر، لينكد ان
المطلوب استلامه
انستغرام، تويتر، لينكد ان",$100.00 - $250.00,30 يوما
45,إنشاء سكربت على تويتر,"أبحث عن مستقل لعمل سكربت على (تويتر ) لعمل الآتي:-
1-متابعة حسابات بشكل عشوائي.
2-الغاء الحساب التى لم ترد المتابعة (تلقائيا).
3-إنشاء تغريدات (5مرات كحد أقصى يوميا). ويمكنه انشائها بشكل عشوائي أو بالتسلسل.
4-التغريد تلقائيا من خلال رفع ملف نصى أو ملف اكسيل.
5-السماح بتسجيل دخول 3 حسابات.",$25.00 - $50.00,4 أيام
46,مسوق محترف في السوق السعودي,"بحاجة إلى خبير في التسويق الإلكتروني بخبرة لا تقل عن 7 سنوات، في السوق السعودي ويتمتع بمعرفة واسعة بالسوق السعودي. المهمة تتضمن تحسين تجربة العميل وفهمه للنشاط عبر تصحيح الأخطاء الإلكترونية على وسائل التواصل الاجتماعي، بما في ذلك إنستقرام، تيك توك، ووات أب التجاري.
العرض يجب أن يكون واضحا حول كيفية تحسين كل منصة، بدءا من إعداد حسابات السوشيال ميديا وتوحيد المعرفات، وصولا إلى تحسين برامج مثل X واليوتيوب.
https://4stogistic.com/",$50.00 - $100.00,3 أيام
47,النشر في المجلات المحكمة,"السلام عليكم ورحمة الله وبركاته
لدي رسالة ماجسيتر تخصص شرعي وأريد أن أنشرها كأوراق علمية في المجلات المحكمة، أحتاج من لديه خبرة في ذلك",$25.00 - $50.00,7 أيام
48,خطة تسويقية شاملة لشركة مقاولات بالمملكة العربية السعودية,"السلام عليكم ورحمة الله وبركاته
1- تحسين محركات البحث (SEO) ويشمل:
(تحليل المنافسين- تحليل التقنيات المستخدمة في الموقع- تحليل الكلمات المفتاحية المستهدفة- حل المشاكل التقنية للموقع- تحليل المحتوي النصي- خطة كلمات مفتاحية- تعديل العناوين الرئيسية- تحسين العلامات الوصفية- تحسين محتوي الموقع- تعديل الصور من ضغطها وتحويلها للصيغة المناسبة- الروابط الداخلية- التقارير والإحصاءات).
2- تصميم وإدارة محتوي حسابات التواصل الاجتماعي ويشمل:
(إدارة حسابات مواقع التواصل- تصاميم إبداعية- المحتوي الإبداعي- الردود على العملاء- التقرير الشهري).
3- إدارة الحملات الإعلانية علي منصات التواصل الاجتماعي.
الشروط :
حسب الكراسة المرفقة
الهدف :
حسب الكراسة المرفقة
وصف المشروع :
حسب الكراسة المرفقة
قنوات التسويق
جوجل, تويتر, انستجرام
المطلوب استلامه
حسب الكراسة المرفقة
pdf طلب-خدمات-تسويق…ion-company.pdf (239.07KB)",$100.00 - $250.00,10 أيام
49,ميديا باير لمتجر دروب شوبينج,"احتاج ٢ ميديا باير
-يقوم بتحديد الجمهور المستهدف.
-يقدم الإعلان بشكل جذاب يؤثر على العميل ويدفعه لشراء المنتج أو الخدمة.
-يحدد الميزانية والتكلفة المناسبة للإعلان وإيه العائد منه سواء كان عائد مادي زيادة أرباح أو زيادة توعية بالعلامة التجارية.
-اختيار الوقت المناسب لعرض الإعلان على كل منصة فمواعيد النشر التي تؤدي إلى زيادة التفاعل تختلف من منصة إلى أخرى.
-تحليل نتيجة الحملة الإعلانية وهل حققت الغرض منها أم محتاجة تعديل.
-مقارنة نتائج الإعلان بما سبق، بمعنى هل وضع المنتج قبل الإعلان اختلف أم لا.",$25.00 - $50.00,5 أيام
50,حملة إعلانية سناب وانستقرام,"حملة اعلانية على السناب بشرط ان تكون حملة مرتبة بنتائج جميلة
تنقلك على اللوكيشن
قنوات الإعلان
سناب
المعلومات المتوفرة
https://maps.app.goo.gl/a...
المطلوب استلامه
تنفيذ اعلان ممول",$25.00 - $50.00,1 يوم
51,نشر وإشهار متجري في محرك بحث دول الخليج,"مرحبا
افتتحنا متجر الكتروني لقطع الغيار وزينة السيارات وصار فيه استفسارات بتوصلنا من دول الخليج قطر والكويت وعمان
ونحتاج خبير ينشر المتجر او يعطينا حلول لنشرها في محركات البحث والأدله هل هذا ممكن؟
الأولوية لي معاه متاجر سابقه اشتغل عليها
دمتم بخير",$50.00 - $100.00,15 يوما
52,تصميم وإنشاء وإدارة محتوى حسابات التواصل الاجتماعي,مطلوب متخصص لديه خبرة ممتازة في إدارة وإنشاء محتوى حسابات التواصل الاجتماعي مثل سناب شات وتيك توك,$100.00 - $250.00,7 أيام
53,خطة تسويق لشركة مهنية ناشئة,"نحن شركة مهنية ناشئة في مجال الخدمات الاستشارية، نبحث عن شخص مختص في إعداد الخطط التسويقية والاستراتيجيات الاتصالية لعمل خطة لعام 2024. يهمنا ان يكون لديه خبرة طويلة في هذا المجال. كما يهمنا الاطلاع على نماذج سابقة (يمكن حذف اي بيانات شخصية للعميل).
الاهداف:
- زيادة حجم المبيعات
- زيادة عدد العملاء في كل منطقة من مناطق المملكة
- ماهي الطرق المناسبة للوصول لهم؟
- متاح اضافة أهداف أخرى من وجهة نظرك (كمستقل) أنها مهمه للشركات الناشئة.
الميزانية لعمل الخطة:
2000 دولار.
الشركة لديها موقع الكتروني وتويتر.
المطلوب: عمل تحليل SOWT وتسليم خطة تسويقية متكاملة ومجدولة زمنيا مع تحديد مؤشرات الاداء لكل هدف.",$50.00 - $100.00,7 أيام
